order_id,time_s,hour,pickup_node,dropoff_node,drive_time_s,drive_dist_m
1,81.8,0,49743231,646216520,1133.4,14133.0
2,110.9,0,774340109,49779846,349.3,3917.0
3,149.8,0,49793773,49839482,832.2,9764.0
4,209.9,0,49745240,49745636,154.5,1763.0
5,304.0,0,4807605970,49800282,346.0,3862.0
6,315.5,0,641939501,49795559,591.9,8580.0
7,324.2,0,49780840,49859684,28.5,307.0
8,347.0,0,49780562,49838680,459.5,5334.0
9,372.3,0,49745214,49823085,361.1,3881.0
10,412.3,0,49748460,3637842788,636.8,7839.0
11,424.8,0,3027832454,49802339,543.4,6389.0
12,503.3,0,49770423,49764858,373.4,4109.0
13,520.3,0,13431097737,49788317,298.4,4213.0
14,548.3,0,49816388,4629708498,200.1,2408.0
15,580.6,0,49889382,9300516161,672.5,8622.0
16,601.1,0,49770684,49801548,369.8,4028.0
17,636.4,0,9136825802,49773663,354.4,3849.0
18,728.5,0,49758271,49857731,23.9,251.0
19,772.5,0,49770782,49797694,192.0,2259.0
20,842.2,0,641116231,49788695,309.8,3678.0
21,957.1,0,49797596,49741730,55.7,597.0
22,980.1,0,49809721,49776074,132.2,1454.0
23,1013.0,0,5128694815,2456351034,302.1,3337.0
24,1056.9,0,49740442,971094753,818.0,10182.0
25,1085.4,0,49745243,49746266,260.5,3090.0
26,1094.2,0,49776916,49828145,1047.2,13663.0
27,1101.4,0,49763606,49800282,284.2,3306.0
28,1187.5,0,9968466642,49772796,836.7,9704.0
29,1302.5,0,49745232,13502526528,377.0,4625.0
30,1371.7,0,2428508011,1493824960,394.2,4396.0
31,1463.0,0,49821763,49729932,491.0,5861.0
32,1470.7,0,49888809,49776471,654.1,7480.0
33,1496.9,0,49764337,49826814,320.3,3645.0
34,1555.5,0,3372235139,49749097,489.5,5477.0
35,1572.2,0,12128376033,49804253,615.0,6932.0
36,1606.2,0,701602949,49777556,521.3,6114.0
37,1617.7,0,3007042409,1488252429,789.0,11039.0
38,1640.8,0,49769407,49814074,937.8,11416.0
39,1652.1,0,49789208,49717871,328.7,3640.0
40,1662.8,0,49771040,1243973909,465.8,5184.0
41,1695.9,0,1014110633,640712834,1062.3,13408.0
42,1778.4,0,49723539,49789704,322.5,3500.0
43,1803.8,0,49719415,49826564,546.3,7444.0
44,1992.9,0,49772964,49891103,723.5,8231.0
45,2005.3,0,9968466642,9124461219,442.4,5181.0
46,2013.1,0,1021561602,2616277023,313.0,3330.0
47,2034.8,0,3672563449,49896952,380.0,4238.0
48,2047.5,0,49765648,49821909,1550.9,21640.0
49,2085.2,0,49745193,49777470,735.5,8844.0
50,2102.8,0,7014093206,49754494,970.2,11375.0
51,2258.3,0,49780074,49763609,206.2,2448.0
52,2269.0,0,49773558,49753058,837.9,10098.0
53,2285.0,0,49845830,705734609,336.1,3700.0
54,2339.4,0,49863186,1468884920,1018.2,13795.0
55,2382.9,0,647619114,49777474,812.2,9808.0
56,2391.5,0,3358724774,3012784288,653.3,8248.0
57,2406.3,0,49882753,49898814,813.8,9829.0
58,2506.8,0,49764314,1493875536,669.6,8806.0
59,2518.9,0,49845830,49764467,363.3,4058.0
60,2538.6,0,49777546,4630137703,549.3,6887.0
61,2580.8,0,49767194,49740162,479.6,5479.0
62,2590.1,0,49770789,49812353,620.7,7233.0
63,2600.5,0,655442853,610608392,377.7,4360.0
64,2730.7,0,49745193,49746034,774.6,10516.0
65,2754.0,0,641087352,622721012,278.8,3121.0
66,2803.5,0,49777792,49759926,704.1,8822.0
67,2810.6,0,1447308555,49751512,149.1,1235.0
68,2822.0,0,49793773,9386480160,843.3,11112.0
69,2930.5,0,11261031488,49786045,691.5,7692.0
70,3072.3,0,49865234,49792438,439.0,4940.0
71,3083.8,0,4561710231,49745459,228.1,2632.0
72,3249.4,0,49744587,49745305,661.9,8872.0
73,3270.9,0,49745628,49782441,589.0,7407.0
74,3462.8,0,49776112,9526260023,279.0,3110.0
75,3489.0,0,3016605388,49819083,724.5,8395.0
76,3677.8,1,3001046648,1364971555,246.1,2716.0
77,3682.1,1,49729874,49755049,624.7,8337.0
78,3734.7,1,49770640,49793792,873.7,10832.0
79,3897.8,1,49809715,49763157,493.6,5611.0
80,3987.9,1,641116283,49760550,746.9,9694.0
81,3990.9,1,49770323,49777969,380.2,4393.0
82,4104.9,1,49777556,49812443,749.4,9115.0
83,4214.1,1,49743415,49749057,487.5,5446.0
84,4428.8,1,49778342,634784052,424.2,5042.0
85,4561.1,1,49809177,642604672,232.4,2608.0
86,4612.4,1,49820583,640712806,1079.1,13451.0
87,4647.3,1,49721610,2954221698,526.0,6417.0
88,4741.7,1,641116257,1574783762,540.7,7562.0
89,4793.6,1,5343232408,49789541,1034.8,12760.0
90,4848.7,1,49762191,49740477,290.2,3554.0
91,4935.3,1,7802243127,49837513,727.8,8427.0
92,5180.1,1,49745240,49735897,481.4,5398.0
93,5304.6,1,641128680,49744571,504.5,5866.0
94,5336.3,1,3125716147,49755515,657.2,8484.0
95,5352.0,1,49777795,1440867117,186.1,2120.0
96,5366.5,1,1060365691,49862640,1027.1,13245.0
97,5454.2,1,49762191,3656197330,739.8,9456.0
98,5474.4,1,49741730,49823153,310.1,3749.0
99,5594.5,1,49881497,49777416,122.8,1372.0
100,5597.5,1,3637842788,49791736,441.3,5623.0
101,5658.2,1,4695979927,49783881,724.9,8948.0
102,5691.8,1,49870270,647618716,453.4,5133.0
103,5715.5,1,49715981,49781417,1130.0,14006.0
104,5727.3,1,49772633,4695979927,397.7,4383.0
105,5973.9,1,49817092,49734611,548.7,6599.0
106,6020.1,1,49809715,49741033,355.9,3962.0
